timestamp,views
2022-01-01,2820
2022-01-02,3346
2022-01-03,4439
2022-01-04,4625
2022-01-05,5023
2022-01-06,4728
2022-01-07,4447
2022-01-08,3801
2022-01-09,3850
2022-01-10,4936
2022-01-11,5154
2022-01-12,5560
2022-01-13,5305
2022-01-14,4806
2022-01-15,3895
2022-01-16,3955
2022-01-17,5155
2022-01-18,5453
2022-01-19,5543
2022-01-20,5557
2022-01-21,4865
2022-01-22,3876
2022-01-23,4099
2022-01-24,5437
2022-01-25,5109
2022-01-26,5363
2022-01-27,5798
2022-01-28,5437
2022-01-29,4193
2022-01-30,4300
2022-01-31,5694
2022-02-01,5562
2022-02-02,5931
2022-02-03,5814
2022-02-04,5456
2022-02-05,4023
2022-02-06,4230
2022-02-07,6461
2022-02-08,5749
2022-02-09,6319
2022-02-10,6309
2022-02-11,5215
2022-02-12,4219
2022-02-13,5015
2022-02-14,5744
2022-02-15,5679
2022-02-16,5614
2022-02-17,5580
2022-02-18,5289
2022-02-19,3987
2022-02-20,4412
2022-02-21,5550
2022-02-22,5889
2022-02-23,6060
2022-02-24,5217
2022-02-25,4779
2022-02-26,4039
2022-02-27,3976
2022-02-28,5113
2022-03-01,4740
2022-03-02,5098
2022-03-03,5038
2022-03-04,4373
2022-03-05,3709
2022-03-06,4587
2022-03-07,5226
2022-03-08,4926
2022-03-09,4948
2022-03-10,5276
2022-03-11,4732
2022-03-12,3558
2022-03-13,3723
2022-03-14,5730
2022-03-15,5107
2022-03-16,4849
2022-03-17,4436
2022-03-18,4468
2022-03-19,3105
2022-03-20,3451
2022-03-21,4856
2022-03-22,5161
2022-03-23,5533
2022-03-24,5183
2022-03-25,4403
2022-03-26,3736
2022-03-27,3702
2022-03-28,5176
2022-03-29,5330
2022-03-30,5349
2022-03-31,5571
2022-04-01,4714
2022-04-02,3807
2022-04-03,3988
2022-04-04,5386
2022-04-05,5585
2022-04-06,5562
2022-04-07,5233
2022-04-08,5025
2022-04-09,3973
2022-04-10,3840
2022-04-11,4896
2022-04-12,5012
2022-04-13,4756
2022-04-14,5116
2022-04-15,4473
2022-04-16,2909
2022-04-17,3786
2022-04-18,5552
2022-04-19,6147
2022-04-20,6423
2022-04-21,4764
2022-04-22,4274
2022-04-23,3539
2022-04-24,3664
2022-04-25,5077
2022-04-26,5236
2022-04-27,4994
2022-04-28,5125
2022-04-29,5162
2022-04-30,3610
2022-05-01,3618
2022-05-02,4854
2022-05-03,4787
2022-05-04,5613
2022-05-05,4928
2022-05-06,4557
2022-05-07,3923
2022-05-08,3893
2022-05-09,5020
2022-05-10,6028
2022-05-11,5365
2022-05-12,4725
2022-05-13,4726
2022-05-14,3450
2022-05-15,3625
2022-05-16,4941
2022-05-17,4777
2022-05-18,5002
2022-05-19,5020
2022-05-20,4689
2022-05-21,4455
2022-05-22,3511
2022-05-23,4863
2022-05-24,5060
2022-05-25,5346
2022-05-26,5066
2022-05-27,4294
2022-05-28,3237
2022-05-29,3555
2022-05-30,4532
2022-05-31,4791
2022-06-01,4513
2022-06-02,4639
2022-06-03,5358
2022-06-04,3162
2022-06-05,3301
2022-06-06,4713
2022-06-07,4827
2022-06-08,4704
2022-06-09,4125
2022-06-10,4102
2022-06-11,3024
2022-06-12,3386
2022-06-13,4372
2022-06-14,5005
2022-06-15,4517
2022-06-16,4667
2022-06-17,3917
2022-06-18,3139
2022-06-19,3340
2022-06-20,4206
2022-06-21,4809
2022-06-22,4796
2022-06-23,4424
2022-06-24,3982
2022-06-25,2964
2022-06-26,3143
2022-06-27,4240
2022-06-28,4368
2022-06-29,4437
2022-06-30,4249
2022-07-01,3718
2022-07-02,2721
2022-07-03,3071
2022-07-04,4425
2022-07-05,4242
2022-07-06,4196
2022-07-07,4117
2022-07-08,3785
2022-07-09,2768
2022-07-10,3167
2022-07-11,4007
2022-07-12,4238
2022-07-13,4178
2022-07-14,4414
2022-07-15,3764
2022-07-16,3105
2022-07-17,3388
2022-07-18,4302
2022-07-19,4478
2022-07-20,3917
2022-07-21,4241
2022-07-22,4070
2022-07-23,3070
2022-07-24,3207
2022-07-25,9330
2022-07-26,13982
2022-07-27,14111
2022-07-28,13970
2022-07-29,13959
2022-07-30,13370
2022-07-31,11121
2022-08-01,4146
2022-08-02,4383
2022-08-03,4646
2022-08-04,4788
2022-08-05,4294
2022-08-06,3573
2022-08-07,3311
2022-08-08,4142
2022-08-09,4450
2022-08-10,4560
2022-08-11,4303
2022-08-12,4309
2022-08-13,3324
2022-08-14,3427
2022-08-15,4476
2022-08-16,4524
2022-08-17,4629
2022-08-18,4413
2022-08-19,4391
2022-08-20,3863
2022-08-21,3564
2022-08-22,4892
2022-08-23,5228
2022-08-24,5068
2022-08-25,5570
2022-08-26,4599
2022-08-27,3606
2022-08-28,3877
2022-08-29,5103
2022-08-30,4947
2022-08-31,4879
2022-09-01,4867
2022-09-02,4445
2022-09-03,3270
2022-09-04,3372
2022-09-05,4428
2022-09-06,5205
2022-09-07,5190
2022-09-08,4832
2022-09-09,4387
2022-09-10,3306
2022-09-11,3781
2022-09-12,4862
2022-09-13,5101
2022-09-14,5083
2022-09-15,5921
2022-09-16,5394
2022-09-17,4354
2022-09-18,4634
2022-09-19,5807
2022-09-20,6180
2022-09-21,6302
2022-09-22,6040
2022-09-23,5191
2022-09-24,4419
2022-09-25,4687
2022-09-26,6365
2022-09-27,6619
2022-09-28,6571
2022-09-29,6633
2022-09-30,5792
2022-10-01,4513
2022-10-02,4265
2022-10-03,5830
2022-10-04,6501
2022-10-05,5853
2022-10-06,6273
2022-10-07,5531
2022-10-08,4244
2022-10-09,4199
2022-10-10,5681
2022-10-11,6026
2022-10-12,6447
2022-10-13,6402
2022-10-14,14031
2022-10-15,9193
2022-10-16,4708
2022-10-17,6372
2022-10-18,6259
2022-10-19,6272
2022-10-20,6840
2022-10-21,6082
2022-10-22,4702
2022-10-23,4504
2022-10-24,5461
2022-10-25,6142
2022-10-26,6361
2022-10-27,6389
2022-10-28,5973
2022-10-29,4524
2022-10-30,4813
2022-10-31,6137
2022-11-01,6663
2022-11-02,6637
2022-11-03,6330
2022-11-04,6627
2022-11-05,5348
2022-11-06,5169
2022-11-07,6442
2022-11-08,6850
2022-11-09,7350
2022-11-10,6263
2022-11-11,5488
2022-11-12,4302
2022-11-13,4896
2022-11-14,6665
2022-11-15,6691
2022-11-16,6938
2022-11-17,6315
2022-11-18,5867
2022-11-19,4682
2022-11-20,4640
2022-11-21,6717
2022-11-22,6066
2022-11-23,6358
2022-11-24,5839
2022-11-25,5612
2022-11-26,4460
2022-11-27,5096
2022-11-28,6439
2022-11-29,7038
2022-11-30,6905
2022-12-01,6388
2022-12-02,5566
2022-12-03,4302
2022-12-04,4591
2022-12-05,6161
2022-12-06,6132
2022-12-07,6027
2022-12-08,5825
2022-12-09,5189
2022-12-10,4414
2022-12-11,4663
2022-12-12,6205
2022-12-13,5921
2022-12-14,5851
2022-12-15,5317
2022-12-16,5287
2022-12-17,3817
2022-12-18,3847
2022-12-19,5299
2022-12-20,5337
2022-12-21,5214
2022-12-22,4909
2022-12-23,4215
2022-12-24,3238
2022-12-25,3131
2022-12-26,4264
2022-12-27,4890
2022-12-28,5185
2022-12-29,4849
2022-12-30,4228
2022-12-31,3574
2023-01-01,3831
2023-01-02,5343
2023-01-03,6145
2023-01-04,6024
2023-01-05,5980
2023-01-06,5219
2023-01-07,4341
2023-01-08,4640
2023-01-09,6307
2023-01-10,6267
2023-01-11,6383
2023-01-12,6608
2023-01-13,5615
2023-01-14,4611
2023-01-15,4389
2023-01-16,5408
2023-01-17,6090
2023-01-18,5981
2023-01-19,6371
2023-01-20,5839
2023-01-21,4791
2023-01-22,5099
2023-01-23,6863
2023-01-24,26023
2023-01-25,6111
2023-01-26,5853
2023-01-27,6144
2023-01-28,5062
2023-01-29,5548
2023-01-30,7558
2023-01-31,8233
2023-02-01,16191
2023-02-02,6263
2023-02-03,5775
2023-02-04,4638
2023-02-05,4718
2023-02-06,6417
2023-02-07,6584
2023-02-08,6027
2023-02-09,6098
2023-02-10,5909
2023-02-11,4602
2023-02-12,5030
2023-02-13,6475
2023-02-14,6655
2023-02-15,6686
2023-02-16,6896
2023-02-17,6367
2023-02-18,5005
2023-02-19,5259
2023-02-20,6888
2023-02-21,7324
2023-02-22,8042
2023-02-23,9891
2023-02-24,7945
2023-02-25,4775
2023-02-26,4876
2023-02-27,7351
2023-02-28,6939
2023-03-01,7482
2023-03-02,7311
2023-03-03,7031
2023-03-04,10992
2023-03-05,5723
2023-03-06,7551
2023-03-07,7470
2023-03-08,6956
2023-03-09,7828
2023-03-10,11834
2023-03-11,7734
2023-03-12,8266
2023-03-13,9790
2023-03-14,26823
2023-03-15,8482
2023-03-16,7100
2023-03-17,6364
2023-03-18,5360
2023-03-19,6089
2023-03-20,7399
2023-03-21,7095
2023-03-22,6635
2023-03-23,6802
2023-03-24,6479
2023-03-25,4851
2023-03-26,5108
2023-03-27,6772
2023-03-28,6832
2023-03-29,6900
2023-03-30,6823
2023-03-31,6030
2023-04-01,4752
2023-04-02,4455
2023-04-03,6049
2023-04-04,9693
2023-04-05,5648
2023-04-06,4939
2023-04-07,4692
2023-04-08,6635
2023-04-09,4337
2023-04-10,5065
2023-04-11,5900
2023-04-12,5660
2023-04-13,5775
2023-04-14,5123
2023-04-15,3895
2023-04-16,4251
2023-04-17,6000
2023-04-18,5563
2023-04-19,6075
2023-04-20,6170
2023-04-21,5735
2023-04-22,4793
2023-04-23,4705
2023-04-24,5834
2023-04-25,5873
2023-04-26,5861
2023-04-27,7172
2023-04-28,7948
2023-04-29,5416
2023-04-30,4868
2023-05-01,5588
2023-05-02,7664
2023-05-03,6850
2023-05-04,6587
2023-05-05,5696
2023-05-06,4646
2023-05-07,4634
2023-05-08,5771
2023-05-09,6006
2023-05-10,6304
2023-05-11,6534
2023-05-12,6342
2023-05-13,4570
2023-05-14,4374
2023-05-15,6249
2023-05-16,6785
2023-05-17,6299
2023-05-18,5810
2023-05-19,5337
2023-05-20,3868
2023-05-21,4242
2023-05-22,6307
2023-05-23,6055
2023-05-24,6046
2023-05-25,5649
2023-05-26,5076
